"filename", "language", "HTML", "Markdown", "JavaScript", "CSS", "JSON", "comment", "blank", "total"
"e:\random Projects 2\hackathons\WBoard\README.md", "Markdown", 0, 16, 0, 0, 0, 0, 5, 21
"e:\random Projects 2\hackathons\WBoard\app.js", "JavaScript", 0, 0, 20, 0, 0, 0, 3, 23
"e:\random Projects 2\hackathons\WBoard\package-lock.json", "JSON", 0, 0, 0, 0, 1815, 0, 1, 1816
"e:\random Projects 2\hackathons\WBoard\package.json", "JSON", 0, 0, 0, 0, 25, 0, 1, 26
"e:\random Projects 2\hackathons\WBoard\public\css\home.css", "CSS", 0, 0, 0, 104, 0, 9, 11, 124
"e:\random Projects 2\hackathons\WBoard\public\css\test.css", "CSS", 0, 0, 0, 96, 0, 15, 13, 124
"e:\random Projects 2\hackathons\WBoard\public\css\waiting.css", "CSS", 0, 0, 0, 26, 0, 0, 2, 28
"e:\random Projects 2\hackathons\WBoard\public\js\auth.js", "JavaScript", 0, 0, 19, 0, 0, 8, 2, 29
"e:\random Projects 2\hackathons\WBoard\public\js\home.js", "JavaScript", 0, 0, 16, 0, 0, 0, 3, 19
"e:\random Projects 2\hackathons\WBoard\public\js\test.js", "JavaScript", 0, 0, 108, 0, 0, 2, 19, 129
"e:\random Projects 2\hackathons\WBoard\public\js\whiteboard.js", "JavaScript", 0, 0, 71, 0, 0, 8, 6, 85
"e:\random Projects 2\hackathons\WBoard\public\lib\css\addons-pro\timeline.css", "CSS", 0, 0, 0, 273, 0, 0, 20, 293
"e:\random Projects 2\hackathons\WBoard\public\lib\css\addons-pro\timeline.min.css", "CSS", 0, 0, 0, 1, 0, 0, 0, 1
"e:\random Projects 2\hackathons\WBoard\public\lib\css\addons\datatables-select.css", "CSS", 0, 0, 0, 71, 0, 16, 23, 110
"e:\random Projects 2\hackathons\WBoard\public\lib\css\addons\datatables-select.min.css", "CSS", 0, 0, 0, 1, 0, 0, 0, 1
"e:\random Projects 2\hackathons\WBoard\public\lib\css\addons\datatables.css", "CSS", 0, 0, 0, 117, 0, 15, 19, 151
"e:\random Projects 2\hackathons\WBoard\public\lib\css\addons\datatables.min.css", "CSS", 0, 0, 0, 1, 0, 0, 0, 1
"e:\random Projects 2\hackathons\WBoard\public\lib\css\addons\directives.css", "CSS", 0, 0, 0, 22, 0, 0, 10, 32
"e:\random Projects 2\hackathons\WBoard\public\lib\css\addons\directives.min.css", "CSS", 0, 0, 0, 1, 0, 0, 0, 1
